origin,Beijing,Tianjin,Shijiazhuang,Tangshan,Qinhuangdao,Handan,Xingtai,Baoding,Zhangjiakou,Chengde,Cangzhou,Langfang,Hengshui,Taiyuan,Datong,Yangquan,Changzhi,Jincheng,Shuozhou,Jinzhong,Yuncheng,Xinzhou,Linfen,Luliang,Hohhot,Baotou,Wuhai,Chifeng,Tongliao,Erdos,Hulunbeir,Bayannaoer,Ulanchabu,Shenyang,Dalian,Anshan,Fushun,Benxi,Dandong,Jinzhou,Yingkou,Fuxin,Liaoyang,Panjin,Tieling,Chaoyang,Huludao,Changchun,Jilin,Siping,Liaoyuan,Tonghua,Baishan,Baicheng,Harbin,Qiqihar,Jixi,Hegang,Shuangyashan,Daqing,Yichun1,Jiamusi,Qitaihe,Mudanjiang,Heihe,Shanghai,Nanjing,Wuxi,Xuzhou,Changzhou,Suzhou1,Nantong,Lianyungang,Huaian,Yancheng,Yangzhou,Zhenjiang,Taizhou4,Suqian,Hangzhou,Ningbo,Wenzhou,Jiaxing,Huzhou,Shaoxing,Jinhua,Quzhou,Zhoushan,Taizhou2,Lishui,Hefei,Wuhu,Bengbu,Huainan,Maanshan,Huaibei,Tongling,Anqing,Huangshan,Chuzhou,Fuyang,Suzhou4,Liuan,Bozhou,Chizhou,Xuancheng,Fuzhou2,Xiamen,Putian,Sanming,Quanzhou,Zhangzhou,Nanping,Longyan,Ningde,Nanchang,Jingdezhen,Pingxiang,Jiujiang,Xinyu,Yingtan,Ganzhou,JiAn,Yichun2,Fuzhou3,Shangrao,JiNan,Qingdao,Zibo,Zaozhuang,Dongying,Yantai,Weifang,Jining,Taian,Weihai,Rizhao,Laiwu,Linyi,Dezhou,Liaocheng,Binzhou,Heze,Zhengzhou,Kaifeng,Luoyang,Pingdingshan,Anyang,Hebi,Xinxiang,Jiaozuo,Puyang,Xuchang,Luohe,Sanmenxia,Nanyang,Shangqiu,Xinyang,Zhoukou,Zhumadian,Wuhan,Huangshi,Shiyan,Yichang,Xiangfan,Ezhou,Jingmen,Xiaogan,Jingzhou,Huanggang,Xianning,Suizhou,Changsha,Zhuzhou,Xiangtan,Hengyang,Shaoyang,Yueyang,Changde,Zhangjiajie,Yiyang,Chenzhou,Yongzhou,Huaihua,Loudi,Guangzhou,Shaoguan,Shenzhen,Zhuhai,Shantou,Foshan,Jiangmen,Zhanjiang,Maoming,Zhaoqing,Huizhou,Meizhou,Shanwei,Heyuan,Yangjiang,Qingyuan,Dongguan,Zhongshan,Jieyang,Nanning,Liuzhou,Guilin,Wuzhou,Beihai,Fangchenggang,Qinzhou,Guigang,Yulin4,Baise,Hezhou,Hechi,Laibin,Chongzuo,Haikou,Sanya,Chongqing,Chengdu,Zigong,Panzhihua,Luzhou,Deyang,Mianyang,Guangyuan,Suining,Neijiang,Leshan,Nanchong,Meishan,Yibin,GuangAn,Dazhou,Yaan,Bazhong,Ziyang,Guiyang,Zunyi,Kunming,Qujing,Yuxi,Baoshan,Zhaotong,Lijiang,Simao,Lincang,XiAn,Tongchuan,Baoji,Xianyang,Weinan,YanAn,Hanzhong,Yulin2,Ankang,Shangluo,Lanzhou,Jiayuguan,Jinchang,Baiyin,Tianshui,Wuwei,Zhangye,Pingliang,Jiuquan,Qingyang,Dingxi,Longnan,Xining,Yinchuan,Shizuishan,Wuzhong,Guyuan,Zhongwei,Urumqi,Karamay
Hangzhou,12.689,11.441,11.66,12.208,13.533,10.975,11.208,12.072,15.113,13.902,10.809,12.308,10.414,13.081,14.896,12.396,11.357,10.566,15.569,12.986,11.626,14.041,12.595,13.816,17.118,18.422,20.223,16.142,18.755,17.581,27.209,20.839,16.059,16.88,18.81,16.83,17.745,17.715,18.563,15.2,16.586,16.373,17.667,15.993,17.806,15.821,15.188,19.547,20.384,19.021,19.025,19.211,19.953,22.409,21.908,23.593,25.319,25.916,27.119,22.737,25.603,25.283,26.227,23.93,27.65,2.192,3.164,2.004,6.736,2.684,2.266,2.416,5.557,4.683,4.096,3.379,4.285,3.508,6.008,0.0,2.088,4.045,1.696,1.48,0.997,2.16,2.471,3.849,4.338,3.788,4.705,3.255,4.991,5.885,2.884,7.635,4.372,4.658,2.368,3.808,6.569,5.518,4.771,6.692,5.821,2.521,7.835,11.219,9.457,7.945,10.213,10.666,6.46,9.526,7.144,5.74,3.956,7.489,5.287,6.564,4.697,9.014,6.888,7.177,5.801,3.897,8.883,7.963,8.674,6.837,9.831,9.624,8.914,7.689,8.583,11.098,6.75,7.882,6.665,9.943,9.473,9.669,8.889,9.721,9.217,9.686,8.539,10.349,10.463,9.502,9.741,9.905,8.542,7.769,11.041,9.566,7.374,7.181,7.281,8.196,7.181,6.666,10.87,11.088,9.661,6.647,9.564,8.356,9.517,7.706,7.568,8.31,8.76,8.589,8.439,9.599,10.113,8.533,9.892,11.66,9.606,10.855,10.696,11.954,9.506,12.923,10.81,13.139,14.277,11.363,13.224,13.853,16.712,16.419,13.133,11.927,9.683,13.499,10.817,14.776,13.026,13.374,13.873,10.785,16.976,14.533,13.195,15.812,18.376,18.757,17.338,16.299,16.623,18.531,14.586,16.765,15.639,18.419,20.533,24.34,14.533,18.944,18.553,25.228,19.124,18.785,18.401,17.382,17.16,18.626,19.349,16.99,20.165,19.049,16.356,15.766,20.165,18.093,18.12,16.505,16.505,21.801,20.059,23.18,27.323,21.688,27.706,24.655,27.258,13.311,13.525,15.529,13.271,12.783,15.176,15.676,15.712,13.55,11.904,18.455,26.003,21.969,20.085,17.402,21.756,24.284,15.839,25.697,15.528,17.849,19.339,21.078,18.41,20.056,18.44,17.698,19.817,36.983,39.767
Ningbo,13.72,12.472,12.691,13.24,14.564,12.101,12.239,13.103,16.144,14.933,11.841,13.34,11.446,14.439,15.927,13.427,12.83,12.039,16.601,14.461,13.206,15.096,14.068,15.289,18.149,19.456,21.772,17.173,19.786,18.784,28.241,21.874,17.09,17.912,19.841,17.861,18.777,18.746,19.594,16.231,17.617,17.404,18.698,17.024,18.837,16.853,16.22,20.579,21.416,20.053,20.056,20.243,20.984,23.44,22.94,24.624,26.351,26.948,28.151,23.768,26.634,26.314,27.258,24.961,28.682,2.951,4.895,3.035,7.838,3.778,3.297,3.447,6.588,5.714,5.127,4.699,5.7,4.539,7.039,2.088,0.0,4.332,2.51,3.182,1.83,2.863,3.726,2.466,3.543,4.073,6.535,5.084,6.571,7.594,4.71,9.066,6.202,6.487,4.319,5.494,8.414,7.098,6.6,8.272,7.65,4.351,8.238,11.853,9.79,8.924,10.583,11.532,7.438,10.781,7.432,6.995,5.399,8.744,6.743,7.819,5.952,10.269,8.143,8.432,7.056,5.152,9.914,8.995,9.705,7.92,10.863,10.656,9.946,8.815,9.614,12.129,7.782,8.913,7.697,10.975,10.599,10.7,10.165,11.3,10.69,11.266,10.118,11.822,11.936,10.975,11.214,11.256,10.122,9.349,12.62,11.396,8.846,9.011,8.861,10.025,8.904,8.389,12.699,12.811,11.491,8.371,11.287,10.08,11.241,9.488,9.024,10.14,10.016,9.845,9.694,10.854,11.368,9.989,11.348,13.115,10.861,12.11,11.952,13.209,10.761,14.178,12.065,14.394,15.533,12.618,14.479,15.109,17.968,17.674,14.388,13.182,10.938,14.754,12.072,16.031,14.281,14.629,15.128,12.04,18.231,15.789,14.45,17.067,19.631,20.012,18.594,17.554,17.878,19.786,15.841,18.02,16.894,19.674,21.788,25.595,16.256,20.668,20.277,26.483,20.721,20.509,20.124,19.211,18.884,20.349,21.073,18.714,21.889,20.772,18.079,17.49,21.888,19.817,19.844,17.76,17.76,23.056,21.314,24.435,28.578,23.285,28.961,25.91,28.513,15.113,15.105,17.359,15.048,14.363,16.756,17.506,17.184,15.38,13.734,20.07,27.618,23.583,21.7,19.232,23.371,25.899,17.454,27.311,17.143,19.463,21.168,22.693,19.959,21.605,19.99,19.313,21.432,38.598,41.382
Wenzhou,16.57,15.322,15.541,16.09,17.414,14.868,15.089,15.953,18.994,17.783,14.691,16.19,14.295,16.974,18.777,16.277,15.251,14.459,19.451,16.879,15.52,17.923,16.488,17.709,20.999,22.319,24.117,20.023,22.636,21.475,31.091,24.736,19.94,20.762,22.691,20.711,21.627,21.596,22.444,19.081,20.467,20.254,21.548,19.874,21.687,19.703,19.07,23.429,24.266,22.903,22.906,23.093,23.834,26.29,25.79,27.474,29.201,29.798,31.001,26.618,29.484,29.164,30.108,27.811,31.532,5.976,7.057,5.885,10.617,6.577,6.147,6.297,9.438,8.564,7.977,7.272,8.179,7.389,9.889,4.045,4.332,0.0,5.344,5.374,3.775,3.546,4.346,6.12,3.015,2.442,8.599,7.149,8.885,9.779,6.778,11.529,8.267,8.241,5.69,7.702,10.464,9.411,8.665,10.585,9.715,6.416,4.679,8.294,6.23,7.588,7.024,7.973,6.102,8.964,3.872,7.615,6.019,9.365,7.363,8.439,6.572,10.503,8.763,9.052,7.676,5.772,12.764,11.845,12.555,10.719,13.713,13.506,12.796,11.582,12.464,14.979,10.632,11.763,10.547,13.825,13.366,13.55,12.783,13.614,13.11,13.58,12.432,14.243,14.356,13.395,13.634,13.798,12.436,11.663,14.934,13.46,11.267,11.076,11.175,12.09,9.525,9.01,14.006,13.432,12.46,8.991,11.908,10.7,11.862,10.112,9.644,11.309,10.636,10.465,10.314,11.475,11.988,10.609,11.968,13.736,11.481,12.725,12.572,13.829,11.381,14.411,12.305,14.484,15.769,10.536,14.719,15.342,18.2,17.907,14.628,13.273,10.362,13.389,12.162,16.264,14.52,14.865,15.349,10.421,18.851,16.409,15.07,17.391,19.902,20.632,19.214,18.174,18.118,20.407,16.461,18.64,17.514,20.294,22.021,25.828,16.877,21.288,20.897,27.103,21.341,21.13,20.745,20.518,19.504,20.97,21.693,19.334,22.509,21.393,18.7,18.11,22.509,20.437,20.464,18.38,18.38,23.676,21.934,25.055,29.198,23.905,29.581,26.53,29.133,17.206,17.419,19.424,17.166,16.676,19.069,18.812,19.605,16.687,15.799,22.349,29.897,25.862,23.978,21.297,25.65,28.178,19.733,29.59,19.422,21.742,22.475,24.971,22.303,23.95,22.334,21.591,23.711,40.876,43.661
Jiaxing,12.623,11.375,11.594,12.142,13.466,11.003,11.142,12.006,15.047,13.836,10.743,12.242,10.348,13.342,14.83,12.329,11.733,10.941,15.503,13.363,12.109,13.999,12.97,14.191,17.052,18.359,20.675,16.076,18.689,17.686,27.143,20.776,15.993,16.814,18.744,16.764,17.679,17.649,18.497,15.134,16.52,16.307,17.6,15.927,17.74,15.755,15.122,19.481,20.318,18.955,18.959,19.145,19.886,22.343,21.842,23.527,25.253,25.85,27.053,22.671,25.537,25.217,26.16,23.863,27.584,1.967,3.797,1.937,6.741,2.681,2.2,2.35,5.491,4.617,4.03,3.601,4.603,3.442,5.942,1.696,2.51,5.344,0.0,2.137,2.29,3.508,4.003,4.051,5.332,5.085,5.553,4.103,5.474,6.496,3.704,7.969,5.22,5.506,3.878,4.397,7.384,6.0,5.619,7.174,6.669,3.369,9.25,12.751,10.802,9.477,11.595,12.198,7.992,11.059,8.444,7.272,5.465,9.022,6.624,8.096,6.229,10.546,8.42,8.709,7.333,5.429,8.817,7.897,8.608,6.823,9.765,9.558,8.848,7.717,8.516,11.032,6.684,7.816,6.599,9.877,9.501,9.603,9.067,10.203,9.593,10.169,9.021,10.725,10.838,9.878,10.116,10.159,9.025,8.252,11.523,10.414,7.749,8.03,7.764,9.052,8.029,7.514,11.718,11.936,10.509,7.495,10.412,9.204,10.366,8.554,8.905,9.158,10.293,10.122,9.971,11.132,11.645,9.816,11.175,12.943,11.138,12.387,12.229,13.486,11.038,14.455,12.342,14.671,15.81,12.895,14.757,15.386,18.245,17.951,14.665,13.459,11.215,15.031,12.349,16.308,14.558,14.906,15.405,12.317,18.508,16.066,14.727,17.344,19.908,20.289,18.871,17.831,18.155,20.064,16.118,18.297,17.171,19.951,22.065,25.873,15.381,19.792,19.401,26.682,19.972,19.633,19.249,18.23,18.008,19.474,20.197,17.838,21.013,19.897,17.204,16.614,21.013,18.941,18.968,17.959,17.959,23.255,21.513,24.634,28.776,22.536,29.16,26.109,28.712,14.019,14.008,16.336,13.984,13.265,15.658,16.524,16.087,14.398,12.752,18.972,26.521,22.486,20.602,18.209,22.273,24.801,16.357,26.214,16.045,18.366,20.187,21.595,18.861,20.508,18.892,18.215,20.335,37.5,40.284
Huzhou,12.697,11.449,11.668,12.216,13.54,10.91,11.216,12.08,15.121,13.91,10.817,12.316,10.422,13.016,14.904,12.403,11.293,10.501,15.564,12.921,11.562,14.002,12.53,13.752,17.126,18.358,20.159,16.15,18.763,17.517,27.217,20.775,16.067,16.888,18.818,16.838,17.753,17.723,18.571,15.208,16.594,16.381,17.674,16.001,17.814,15.829,15.196,19.555,20.392,19.029,19.033,19.219,19.96,22.417,21.916,23.601,25.327,25.924,27.127,22.745,25.611,25.291,26.234,23.937,27.658,2.474,3.1,2.043,6.672,2.619,2.416,2.566,5.575,4.691,4.223,3.314,4.221,3.635,6.007,1.48,3.182,5.374,2.137,0.0,2.326,3.489,3.885,4.722,5.661,5.117,4.655,3.205,4.927,5.835,2.82,7.571,4.322,4.608,3.682,3.744,6.519,5.454,4.721,6.628,5.771,2.471,9.25,12.634,10.832,9.36,11.596,12.081,7.875,10.941,8.473,7.155,5.269,8.904,5.726,7.979,6.112,10.429,8.303,8.592,7.216,5.312,8.891,7.982,8.682,6.79,9.85,9.643,8.933,7.625,8.59,11.117,6.769,7.89,6.673,9.951,9.409,9.677,8.825,9.656,9.153,9.622,8.474,10.285,10.398,9.438,9.676,9.84,8.478,7.705,10.976,9.516,7.309,7.131,7.217,8.146,7.131,6.616,10.82,11.038,9.611,6.597,9.514,8.306,9.467,7.656,8.007,8.26,10.148,10.004,9.854,11.014,11.527,8.918,10.277,12.044,10.993,12.27,12.111,13.372,10.92,14.338,12.225,14.554,15.692,12.778,14.639,15.268,18.127,17.834,14.548,13.342,11.098,14.914,12.232,16.191,14.441,14.789,15.288,12.199,18.39,15.948,14.609,17.227,19.791,20.172,18.753,17.713,18.038,19.946,16.001,18.18,17.054,19.833,21.948,25.755,14.482,18.894,18.503,25.787,19.074,18.735,18.351,17.331,17.11,18.576,19.299,16.94,20.115,18.999,16.306,15.716,20.114,18.043,18.07,17.064,17.064,22.36,20.618,23.739,27.881,21.638,28.265,25.214,27.817,13.261,13.461,15.479,13.221,12.718,15.112,15.626,15.647,13.5,11.854,18.402,25.95,21.915,20.032,17.352,21.703,24.231,15.786,25.643,15.475,17.795,19.288,21.025,18.345,19.992,18.376,17.644,19.764,36.93,39.714
Shaoxing,13.522,12.274,12.493,13.042,14.366,11.82,12.041,12.905,15.946,14.735,11.643,13.142,11.247,13.926,15.729,13.229,12.203,11.411,16.402,13.831,12.472,14.875,13.44,14.661,17.951,19.271,21.069,16.975,19.588,18.427,28.042,21.688,16.892,17.714,19.643,17.663,18.579,18.548,19.396,16.033,17.419,17.206,18.5,16.826,18.639,16.655,16.022,20.381,21.218,19.855,19.858,20.045,20.786,23.242,22.742,24.426,26.153,26.75,27.953,23.57,26.436,26.116,27.06,24.763,28.484,2.922,4.009,2.837,7.569,3.529,3.099,3.249,6.39,5.516,4.929,4.224,5.131,4.341,6.841,0.997,1.83,3.775,2.29,2.326,0.0,2.235,3.097,3.591,3.806,3.516,5.551,4.101,5.837,6.731,3.73,8.481,5.219,5.504,3.226,4.654,7.416,6.363,5.617,7.537,6.667,3.368,7.681,11.296,9.233,8.367,10.026,10.975,6.881,10.153,6.875,6.367,4.771,8.116,6.111,7.191,5.324,9.641,7.515,7.804,6.428,4.524,9.716,8.797,9.507,7.671,10.665,10.458,9.748,8.534,9.416,11.931,7.584,8.715,7.499,10.777,10.318,10.502,9.735,10.566,10.062,10.532,9.384,11.195,11.308,10.347,10.586,10.75,9.388,8.615,11.886,10.412,8.219,8.028,8.127,9.042,8.027,7.512,11.716,11.934,10.508,7.494,10.41,9.203,10.364,8.553,8.392,9.157,9.387,9.216,9.066,10.226,10.739,9.357,10.716,12.484,10.233,11.482,11.323,12.581,10.132,13.55,11.437,13.765,14.904,11.99,13.851,14.48,17.339,17.046,13.76,12.554,10.31,14.126,11.444,15.403,13.653,14.001,14.5,11.411,17.602,15.16,13.821,16.439,19.003,19.384,17.965,16.925,17.25,19.158,15.213,17.392,16.266,19.045,21.16,24.967,15.379,19.791,19.4,25.855,19.97,19.632,19.247,18.228,18.007,19.472,20.196,17.837,21.012,19.895,17.202,16.613,21.011,18.94,18.967,17.132,17.132,22.428,20.685,23.807,27.949,22.535,28.333,25.282,27.885,14.158,14.371,16.376,14.118,13.628,16.021,16.522,16.557,14.397,12.751,19.301,26.849,22.814,20.93,18.249,22.602,25.13,16.685,26.542,16.374,18.694,20.185,21.923,19.255,20.902,19.286,18.543,20.663,37.828,40.613
Jinhua,14.686,13.438,13.657,14.205,15.529,12.984,13.205,14.069,17.11,15.899,12.806,14.305,12.411,15.089,16.893,14.392,13.366,12.574,17.566,14.995,13.635,16.038,14.604,15.825,19.115,20.435,22.052,18.139,20.752,19.59,29.206,22.852,18.056,18.877,20.807,18.827,19.742,19.712,20.56,17.197,18.583,18.37,19.663,17.99,19.803,17.818,17.185,21.544,22.381,21.018,21.022,21.208,21.949,24.406,23.905,25.59,27.316,27.913,29.116,24.734,27.6,27.28,28.224,25.926,29.647,4.14,5.173,4.001,8.733,4.693,4.263,4.413,7.554,6.68,6.093,5.387,6.294,5.505,8.005,2.16,2.863,3.546,3.508,3.489,2.235,0.0,1.355,4.651,3.924,2.431,6.715,5.265,7.0,7.895,4.893,9.644,5.942,5.251,2.7,5.817,8.579,7.527,6.781,8.701,6.996,4.531,6.72,10.104,8.342,6.83,9.099,9.551,5.345,8.411,6.521,4.625,3.029,6.374,4.373,5.449,3.582,7.899,5.773,6.062,4.686,2.782,10.88,9.96,10.671,8.834,11.828,11.621,10.911,9.698,10.579,13.095,8.747,9.879,8.662,11.94,11.482,11.666,10.898,11.729,11.226,11.695,10.548,12.358,12.472,11.511,11.75,11.913,10.551,9.778,13.05,11.034,9.382,8.649,9.29,9.664,6.535,6.019,11.016,10.442,9.469,6.001,8.918,7.71,8.871,7.122,6.653,8.319,7.645,7.474,7.324,8.484,8.998,7.619,8.978,10.745,8.491,9.74,9.581,10.839,8.39,11.808,9.695,12.024,13.162,10.248,12.109,12.738,15.597,15.304,12.018,10.812,8.568,12.384,9.702,13.661,11.911,12.259,12.758,9.669,15.86,13.418,12.079,14.697,17.261,17.642,16.223,15.183,15.508,17.416,13.471,15.65,14.524,17.303,19.418,23.225,13.886,18.298,17.907,24.113,18.351,18.139,17.755,17.528,16.514,17.979,18.703,16.344,19.519,18.403,15.71,15.12,19.518,17.447,17.474,15.39,15.39,20.686,18.944,22.065,26.207,20.915,26.591,23.54,26.143,14.25,14.658,16.468,14.21,14.15,16.987,15.822,17.72,13.697,12.909,19.438,26.987,22.952,21.068,18.341,22.739,25.267,16.822,26.68,16.511,18.832,19.485,22.061,20.239,21.885,20.089,18.681,20.8,37.966,40.75
Quzhou,15.094,13.846,14.065,14.613,15.938,13.256,13.613,14.477,17.518,16.307,13.214,14.713,12.819,15.197,17.301,14.801,13.473,12.682,17.744,15.102,13.419,16.182,14.557,15.932,19.523,20.538,21.64,18.547,21.16,19.698,29.614,22.884,18.464,19.285,21.215,19.235,20.15,20.12,20.968,17.605,18.991,18.778,20.072,18.398,20.211,18.226,17.593,21.952,22.789,21.426,21.43,21.616,22.358,24.814,24.313,25.998,27.724,28.321,29.524,25.142,28.008,27.688,28.632,26.334,30.055,4.597,5.569,4.409,9.141,5.089,4.671,4.821,7.962,7.088,6.501,5.784,6.69,5.913,8.413,2.471,3.726,4.346,4.003,3.885,3.097,1.355,0.0,5.513,4.734,3.213,6.758,5.394,7.396,8.026,5.291,10.04,5.53,4.838,2.287,6.213,8.316,7.923,6.494,9.097,6.583,4.721,6.093,9.477,7.715,6.203,8.472,9.114,4.718,7.975,6.284,4.26,2.616,6.009,3.96,5.084,3.217,7.462,5.408,5.697,4.321,2.163,11.288,10.368,11.079,9.242,12.236,12.029,11.319,10.094,10.988,13.503,9.155,10.287,9.07,12.348,11.878,12.074,11.294,11.762,11.367,11.484,10.331,12.605,12.718,11.704,11.857,12.16,10.584,9.743,12.833,10.621,9.779,8.237,9.323,9.251,6.122,5.607,10.603,10.029,9.057,5.588,8.505,7.297,8.459,6.709,6.241,7.906,7.281,7.109,6.959,8.119,8.633,7.206,8.565,10.333,8.126,9.375,9.216,10.474,8.026,11.377,9.264,11.587,12.731,9.811,11.678,12.307,15.166,14.872,11.587,10.375,8.131,11.948,9.265,13.23,11.479,11.827,12.326,9.233,15.496,13.053,11.715,14.299,16.863,17.277,15.858,14.819,15.077,17.051,13.106,15.285,14.159,16.939,18.986,22.794,13.474,17.885,17.494,23.748,17.981,17.727,17.342,17.115,16.101,17.567,18.29,15.931,19.106,17.99,15.297,14.707,19.106,17.034,17.061,15.025,15.025,20.321,18.579,21.7,25.843,20.545,26.226,23.175,25.778,13.838,14.246,16.056,13.798,13.737,16.574,15.409,17.828,13.284,12.496,19.026,26.574,22.539,20.656,17.929,22.327,24.855,16.41,26.267,16.099,18.419,19.072,21.648,19.826,21.473,19.674,18.268,20.388,37.554,40.338
Zhoushan,15.261,14.013,14.232,14.781,16.105,13.641,13.78,14.644,17.685,16.474,13.381,14.88,12.986,15.98,17.468,14.968,14.371,13.579,18.141,16.001,14.747,16.637,15.608,16.83,19.69,20.997,23.313,18.714,21.327,20.324,29.781,23.414,18.631,19.452,21.382,19.402,20.317,20.287,21.135,17.772,19.158,18.945,20.239,18.565,20.378,18.393,17.76,22.119,22.956,21.593,21.597,21.783,22.525,24.981,24.48,26.165,27.891,28.488,29.691,25.309,28.175,27.855,28.799,26.502,30.222,4.491,6.435,4.576,9.379,5.319,4.838,4.988,8.129,7.255,6.668,6.24,7.241,6.08,8.58,3.849,2.466,6.12,4.051,4.722,3.591,4.651,5.513,0.0,5.328,5.861,8.099,6.649,8.112,9.135,6.256,10.607,7.767,8.052,6.08,7.035,9.973,8.639,8.165,9.812,9.215,5.916,10.026,13.641,11.578,10.712,12.371,13.32,9.226,12.569,9.219,8.783,7.187,10.532,8.531,9.607,7.74,12.057,9.931,10.22,8.844,6.94,11.455,10.535,11.246,9.461,12.403,12.196,11.486,10.356,11.155,13.67,9.322,10.454,9.237,12.515,12.14,12.241,11.706,12.841,12.231,12.807,11.659,13.363,13.476,12.516,12.754,12.797,11.663,10.89,14.161,12.96,10.387,10.576,10.402,11.59,10.575,10.06,14.264,14.482,13.056,10.042,12.958,11.751,12.912,11.101,10.811,11.705,11.803,11.632,11.482,12.642,13.155,11.777,13.136,14.903,12.649,13.898,13.739,14.997,12.548,15.966,13.853,16.182,17.32,14.406,16.267,16.896,19.755,19.462,16.176,14.97,12.726,16.542,13.86,17.819,16.069,16.417,16.916,13.827,20.018,17.576,16.237,18.855,21.419,21.8,20.381,19.341,19.666,21.574,17.629,19.808,18.682,21.461,23.576,27.383,17.927,22.339,21.948,28.271,22.479,22.18,21.795,20.776,20.555,22.02,22.744,20.385,23.56,22.443,19.75,19.158,23.559,21.485,21.515,19.548,19.548,24.844,23.101,26.223,30.365,25.043,30.749,27.698,30.301,16.672,16.646,18.925,16.607,15.903,18.297,19.07,18.725,16.945,15.299,21.611,29.159,25.124,23.24,20.798,24.912,27.44,18.995,28.852,18.684,21.004,22.733,24.233,21.5,23.146,21.53,20.853,22.973,40.139,42.923
Taizhou2,16.583,15.335,15.553,16.102,17.426,14.963,15.101,15.965,19.007,17.795,14.703,16.202,14.308,17.223,18.789,16.289,15.538,14.746,19.463,17.167,15.807,17.959,16.775,17.997,21.012,22.319,24.404,20.035,22.649,21.646,31.103,24.736,19.952,20.774,22.704,20.723,21.639,21.608,22.456,19.094,20.479,20.266,21.56,19.887,21.7,19.715,19.082,23.441,24.278,22.915,22.918,23.105,23.846,26.302,25.802,27.487,29.213,29.81,31.013,26.631,29.497,29.176,30.12,27.823,31.544,5.813,7.345,5.897,10.701,6.641,6.159,6.31,9.451,8.577,7.99,7.53,8.466,7.402,9.902,4.338,3.543,3.015,5.332,5.661,3.806,3.924,4.734,5.328,0.0,4.033,8.887,7.437,9.172,10.067,7.065,11.816,8.554,8.629,6.078,7.989,10.751,9.699,8.953,10.873,10.002,6.703,6.939,10.554,8.491,9.014,9.284,10.233,7.528,11.16,6.133,8.003,6.407,9.753,7.751,8.827,6.96,11.277,9.151,9.44,8.064,6.16,12.776,11.857,12.568,10.782,13.725,13.518,12.808,11.677,12.476,14.992,10.644,11.775,10.559,13.837,13.461,13.562,13.003,13.901,13.398,13.867,12.719,14.53,14.643,13.683,13.921,14.031,12.723,11.95,15.221,13.748,11.554,11.363,11.462,12.377,9.913,9.398,14.394,13.82,12.848,9.379,12.296,11.088,12.25,10.5,10.032,11.697,11.024,10.853,10.702,11.863,12.376,10.997,12.356,14.124,11.869,13.118,12.96,14.217,11.769,15.186,13.073,15.402,16.541,12.797,15.488,16.117,18.976,18.682,15.396,14.19,11.796,15.65,13.08,17.039,15.289,15.637,16.136,12.681,19.239,16.797,15.458,18.075,20.639,21.02,19.602,18.562,18.886,20.795,16.849,19.028,17.902,20.682,22.796,26.604,17.265,21.676,21.285,27.491,21.729,21.518,21.133,20.906,19.892,21.358,22.081,19.722,22.897,21.781,19.088,18.498,22.897,20.825,20.852,18.768,18.768,24.064,22.322,25.443,29.586,24.293,29.969,26.918,29.521,17.493,17.706,19.711,17.453,16.963,19.357,19.2,19.892,17.075,16.086,22.636,30.184,26.149,24.266,21.584,25.937,28.465,20.02,29.877,19.709,22.029,22.863,25.259,22.591,24.237,22.621,21.878,23.998,41.164,43.948
