source,target,distance
CAA,COV,5.42
CAC,BKR,8.7
CAC,DRU,4.7
CAD,BYD,1.37
CAD,DNS,3.02
CAG,AVM,10.06
CAG,INV,32.54
CAK,GOS,4.97
CAK,KBK,3.14
CAK,ULV,8.29
CAM,BAG,4.98
CAM,FML,2.74
CAN,ARB,9.76
CAN,DEE,16.98
CAN,GOF,0.85
CAN,MON,7.22
CAO,HNF,2.94
CAO,LAW,3.23
CAR,APP,44.9
CAR,AWT,13.79
CAR,DLS,6.07
CAR,GEA,14.93
CAR,GLC,136.45
CAR,HWH,31.26
CAR,HYM,118.73
CAR,LAN,94.02
CAR,LOC,37.22
CAR,MTH,120.6
CAR,OXN,66.53
CAR,PNR,27.84
CAR,WRL,6.58
CAS,MIH,4.62
CAS,RCD,2.62
CAT,WHS,2.38
CAU,SDP,2.11
CAU,SKN,1.96
CAY,BLG,2.93
CAY,SLS,1.17
CBB,LEL,2.43
CBB,SER,3.28
CBB,SIV,1.57
CBC,GRL,8.34
CBC,WFF,1.36
CBD,DIN,3.76
CBD,MOO,5.02
CBE,BKS,4.46
CBE,SEG,9.41
CBG,CMB,3.45
CBG,DUL,15.64
CBG,ELY,23.58
CBG,FXN,10.05
CBG,KGX,75.96
CBG,LET,34.62
CBG,NMK,18.93
CBG,RYS,19.33
CBG,SED,5.09
CBG,SSD,35.06
CBG,WBC,8.58
CBG,WLF,10.3
CBH,BET,0.85
CBH,LOF,1.02
CBK,FNT,10.46
CBK,HON,17.37
CBK,PIN,3.72
CBK,WHM,5.2
CBL,GLC,6.92
CBL,NTN,2.5
CBL,RUT,2.73
CBL,UDD,5.41
CBN,HYL,9.1
CBN,RED,5.69
CBN,SER,11.36
CBP,DRG,0.78
CBP,SGN,1.2
CBR,LWS,3.96
CBR,PMP,4.52
CBR,WVF,10.29
CBS,ADR,2.85
CBS,BAI,0.87
CBS,COA,1.48
CBS,SLS,8.36
CBW,AFK,20.9
CBW,CRT,4.99
CBW,MSR,17.55
CBW,RAM,23.85
CBW,STU,3.76
CBY,HND,9.56
CBY,KGM,10.11
CBY,OXF,20.07
CBY,SIP,7.11
CCC,PNC,7.0
CCC,PTM,7.05
CCH,BAA,9.98
CCH,BOG,8.98
CCH,BOH,4.76
CCH,EMS,11.24
CCH,FSB,2.47
CCH,HAV,14.26
CCH,SOB,9.06
CCT,MFL,1.02
CCT,MUI,1.16
CDD,GLT,7.72
CDD,LCG,3.25
CDF,BGN,27.64
CDF,CDQ,0.91
CDF,GTN,1.21
CDF,LLR,19.35
CDF,NNP,1.53
CDF,NWP,17.78
CDF,PYC,15.72
CDF,PYE,15.09
CDI,EXD,9.44
CDI,NTC,4.07
CDI,OKE,25.04
CDI,YEO,5.62
CDN,RHM,1.3
CDN,WME,1.44
CDO,GLC,5.25
CDO,HLE,0.91
CDQ,CDF,0.91
CDQ,CYS,0.97
CDQ,HHL,3.93
CDQ,HLL,3.84
CDR,CGD,5.27
CDR,DLR,4.9
CDS,ECR,7.3
CDS,MHM,5.81
CDS,PUR,2.93
CDS,RDH,8.64
CDT,CPW,8.69
CDT,STJ,1.2
CDU,GCR,18.41
CDU,YAE,20.33
CDY,BGS,1.38
CDY,GKC,1.36
CEA,CRF,2.89
CEA,HTW,4.5
CED,LBZ,6.57
CED,TRI,6.92
CEF,BUX,5.74
CEF,DVH,2.34
CEF,WBR,4.81
CEH,BHM,13.57
CEH,NUN,16.57
CEH,WTO,2.37
CEL,ALD,4.64
CEL,GTR,6.21
CES,BTP,1.99
CES,WNY,1.93
CET,COL,1.73
CET,HYH,1.61
CEY,SKI,4.71
CEY,SON,4.79
CFB,LAD,1.34
CFB,LSY,2.29
CFD,GLH,1.86
CFD,NOR,5.27
CFD,WDS,6.85
CFF,BUI,1.53
CFF,KGP,1.2
CFH,GRY,2.61
CFH,LAI,13.14
CFH,OCK,4.05
CFL,BIY,1.24
CFL,KEI,3.83
CFN,RDA,0.97
CFN,SML,3.14
CFO,AMR,3.32
CFO,CLW,3.3
CFR,ESL,2.85
CFR,ROM,7.69
CFT,BGM,2.62
CFT,CTF,1.39
CFT,NHD,1.73
CFT,PMR,2.81
CGD,CDR,5.27
CGD,HLC,1.7
CGM,BEV,6.84
CGM,HUL,5.75
CGN,EBK,1.5
CGN,GTN,2.34
CGW,CYB,1.02
CGW,HPE,1.09
CHC,GLQ,1.22
CHC,PTK,2.5
CHD,ALF,15.69
CHD,DBY,35.94
CHD,DRO,7.73
CHD,NOT,37.16
CHD,SHF,15.82
CHE,EPS,4.46
CHE,EWE,2.21
CHE,SUO,1.66
CHF,CRG,14.83
CHF,GRF,10.69
CHF,MIK,7.6
CHF,SIE,3.26
CHF,ULL,3.16
CHF,YRK,17.08
CHG,AFK,9.34
CHG,LEN,6.46
CHH,AMY,21.2
CHH,BIG,7.24
CHH,HRH,3.54
CHI,HIP,2.82
CHK,BNI,1.51
CHK,KWB,1.72
CHL,GLD,4.57
CHL,GOM,5.79
CHL,SFR,2.93
CHM,COL,34.46
CHM,HAP,9.79
CHM,INT,9.66
CHM,LST,45.11
CHM,SNF,15.14
CHM,SRA,39.16
CHM,WTM,14.06
CHN,BXB,4.98
CHN,ENL,3.57
CHN,LST,20.95
CHN,MRW,10.37
CHN,SVS,13.84
CHN,TEO,1.38
CHN,TOM,12.98
CHN,WLC,1.99
CHO,DID,7.41
CHO,GOR,5.69
CHP,KND,3.34
CHP,WME,1.51
CHR,BMH,5.71
CHR,HNA,5.21
CHR,NWM,9.13
CHR,POK,2.96
CHT,ALM,16.64
CHU,BML,2.48
CHU,HTH,3.68
CHU,SPT,3.7
CHW,LES,2.11
CHW,WCF,1.45
CHX,WAE,1.13
CHY,ASN,2.35
CHY,VIR,4.0
CIL,CRT,3.25
CIL,WYE,7.38
CIM,BHR,2.9
CIM,GTH,5.36
CIM,LLO,11.5
CIM,LNW,13.03
CIR,CMD,1.71
CIR,HHY,0.98
CIT,ESD,1.58
CIT,PET,2.23
CKH,DUM,2.25
CKH,MPK,0.92
CKL,SBS,5.49
CKL,WTH,1.3
CKN,AXM,19.02
CKN,YVJ,12.99
CKS,BUS,1.31
CKS,GFN,1.98
CKT,HKH,2.06
CKT,MPK,1.14
CKY,NBE,5.13
CKY,RCA,2.88
CLA,HSY,4.99
CLA,LRD,5.06
CLC,BRU,5.45
CLC,TAU,41.37
CLC,WSB,29.24
CLC,YVP,18.4
CLD,HIB,25.82
CLD,KCK,1.91
CLD,LBG,21.34
CLD,ORP,2.37
CLE,GMB,3.82
CLE,NCE,2.42
CLG,HYW,1.62
CLG,OXS,2.93
CLH,BMC,28.91
CLH,HLD,18.77
CLH,WHE,5.6
CLI,KSL,4.78
CLI,SLD,4.71
CLJ,BAK,2.12
CLJ,BAL,2.64
CLJ,BSK,67.3
CLJ,EAD,2.77
CLJ,ECR,11.3
CLJ,IMW,1.36
CLJ,MTC,6.31
CLJ,PUT,3.22
CLJ,QRB,1.99
CLJ,RMD,9.06
CLJ,SUR,12.23
CLJ,VIC,3.89
CLJ,VXH,4.09
CLJ,WAT,5.86
CLJ,WIM,5.36
CLJ,WNT,1.29
CLJ,WOK,31.35
CLJ,WSW,2.06
CLJ,WWR,2.34
CLK,ELE,1.3
CLK,NBC,0.98
CLL,BEX,1.36
CLL,COB,2.28
CLL,EBN,14.65
CLM,LCN,16.73
CLM,NCT,8.27
CLM,NNG,7.67
CLM,SWD,4.26
CLN,ELR,4.79
CLN,MHS,6.14
CLP,DMK,3.01
CLP,WWR,0.61
CLR,CUW,10.5
CLR,FGW,18.59
CLR,HVF,7.58
CLR,WTL,18.87
CLS,DHM,8.37
CLS,NCL,12.89
CLT,TLS,6.0
CLU,CRS,12.16
CLU,LNK,8.04
CLU,WSH,6.64
CLV,BER,5.16
CLV,DDG,11.24
CLW,CFO,3.3
CLW,RIC,3.48
CLY,DOR,28.53
CLY,EDL,8.93
CLY,NMC,4.9
CMB,CBG,3.45
CMB,ELY,20.13
CMB,WBC,5.15
CMD,CIR,1.71
CMD,HHY,2.66
CMD,KTW,0.71
CMF,MTB,1.17
CMF,WTS,4.45
CMH,ABA,2.5
CMH,FER,2.11
CML,MTV,1.48
CML,RUT,3.39
CMN,FYS,10.41
CMN,LLE,22.31
CMN,PBY,19.31
CMN,WTL,21.56
CMO,CUB,12.38
CMO,FKG,2.06
CMO,LBT,2.02
CMR,NWA,14.01
CMR,RNR,1.42
CMR,SHM,5.59
CMR,WRN,3.23
CMY,GLC,3.32
CMY,PWW,1.56
CNE,NEL,3.07
CNF,LAN,9.34
CNF,SVR,4.95
CNF,WNN,12.03
CNG,KDG,8.66
CNG,MAC,12.24
CNG,SOT,16.69
CNL,COV,2.32
CNL,THL,3.38
CNM,ASC,11.34
CNM,BHM,66.04
CNM,BPW,52.47
CNM,GCR,10.19
CNM,WOP,29.05
CNM,WOS,33.91
CNN,DLJ,1.17
CNN,DLK,1.12
CNN,HHY,0.73
CNO,MDN,9.63
CNO,YET,3.3
CNP,BKP,1.2
CNP,BKQ,0.61
CNR,AUI,11.72
CNR,TYL,7.61
CNR,UTY,7.19
CNS,DON,7.18
CNS,MEX,3.59
CNW,LLJ,1.49
CNW,PMW,6.28
CNY,BDA,6.78
CNY,BUC,3.6
CNY,REE,3.5
COA,ADR,1.38
COA,CBS,1.48
COB,CLL,2.28
COB,NSB,2.75
COB,PEV,7.43
COE,LSK,1.03
COE,SKN,2.88
COH,BXD,7.42
COH,ERI,4.83
COI,MFL,0.79
COI,QPK,0.71
COL,CET,1.73
COL,CHM,34.46
COL,HYH,2.87
COL,IPS,23.96
COL,KEL,14.72
COL,LST,79.57
COL,MKT,7.87
COL,MNG,11.72
COL,WIV,6.52
COL,WTM,20.4
COM,CSM,2.44
COM,KLD,6.02
CON,OBN,7.02
CON,TAY,9.28
COO,BNE,2.33
COO,FZP,2.75
COP,MRD,2.61
COP,YEO,4.55
COR,KET,10.89
COR,MMO,33.1
COS,ALB,2.63
COS,SFN,5.01
COT,LDS,4.01
COT,MLY,2.0
COV,BHI,15.44
COV,CAA,5.42
COV,CNL,2.32
COV,EUS,135.45
COV,KNW,7.65
COV,LMS,13.03
COV,MKC,64.81
COV,RUG,18.01
COV,WFJ,112.1
COW,DFL,5.99
COW,LCG,3.19
COY,WHT,0.65
CPA,BNV,1.61
CPA,LHE,4.46
CPH,ABE,0.87
CPH,LVT,3.77
CPK,BSH,1.94
CPK,HTE,2.33
CPM,BTH,19.23
CPM,MKM,9.41
CPM,SWI,25.55
CPN,BNP,7.01
CPT,HAC,1.45
CPT,SJS,2.7
CPU,BAC,6.56
CPU,HOO,4.72
CPW,CDT,8.69
CPW,GCR,38.96
CPW,LYD,12.76
CPW,NWP,23.25
CPY,BEN,6.69
CPY,GIG,8.45
CRA,LYE,2.04
CRA,OHL,2.33
CRA,ROW,4.13
CRA,SBJ,3.83
CRB,HEX,4.98
CRB,RDM,3.61
CRD,ERD,0.92
CRD,WYL,1.2
CRE,ALD,27.17
CRE,ASG,8.98
CRE,CTR,32.13
CRE,EUS,233.62
CRE,MKC,162.35
CRE,NAN,6.47
CRE,NUN,90.39
CRE,PRE,76.42
CRE,RUG,112.2
CRE,RUN,34.4
CRE,SDB,7.23
CRE,SHR,47.11
CRE,STA,38.01
CRE,WBQ,34.8
CRE,WML,29.76
CRE,WSF,11.95
CRF,CEA,2.89
CRF,HLY,1.27
CRG,CHF,14.83
CRG,GRF,4.58
CRG,LDS,6.48
CRG,YRK,28.95
CRH,HRY,1.47
CRH,UHL,1.19
CRI,HEN,3.0
CRI,WHP,1.77
CRK,GOB,4.83
CRK,RUA,3.39
CRL,ADL,4.67
CRL,BON,15.87
CRL,BSV,3.36
CRL,HWI,10.08
CRL,PRE,12.78
CRM,MAS,12.8
CRM,MPT,9.89
CRN,SND,2.49
CRN,WKM,5.21
CRO,FKK,15.69
CRO,GLQ,16.94
CRO,LBT,14.79
CRO,LNZ,8.28
CRR,RAN,10.78
CRR,TUL,13.81
CRS,CLU,12.16
CRS,FLD,14.96
CRS,LNK,6.84
CRT,CBW,4.99
CRT,CIL,3.25
CRV,BME,3.9
CRV,CTT,10.85
CRV,LUD,11.44
CRV,SHR,30.55
CRW,HRH,10.59
CRW,IFI,2.0
CRW,LVN,9.21
CRW,TBD,1.86
CRY,BXY,2.28
CRY,DFD,2.81
CRY,SGR,2.31
CSA,FRM,8.83
CSA,FTN,5.11
CSA,HAV,6.19
CSA,HLS,1.68
CSA,PTC,4.05
CSB,SUO,1.51
CSB,WLT,1.36
CSD,EFF,3.65
CSD,OXS,2.76
CSG,AIG,1.2
CSG,LPY,1.51
CSH,HCB,1.36
CSH,SUO,1.99
CSK,BAS,1.46
CSK,GSL,2.19
CSL,ALB,4.68
CSL,BBK,1.13
CSL,WVH,7.08
CSM,COM,2.44
CSM,DNY,2.32
CSN,CSS,1.01
CSN,TOL,2.01
CSO,PRE,10.94
CSO,RUF,4.1
CSR,FLI,1.06
CSR,URM,0.98
CSS,CSN,1.01
CST,BFR,0.89
CST,LBG,0.72
CSW,HNB,3.51
CSW,WHI,2.41
CSY,TIP,2.12
CSY,WVH,5.28
CTE,HNC,2.32
CTE,MEY,2.47
CTF,BGM,1.24
CTF,CFT,1.39
CTH,GMY,1.21
CTH,RMF,3.83
CTK,BFR,0.24
CTK,ZFD,0.74
CTL,HMM,2.41
CTL,KNA,9.93
CTM,GLM,2.16
CTM,RTR,0.95
CTN,BKH,2.82
CTN,KDB,2.69
CTN,WCB,0.95
CTN,WWA,2.71
CTN,WWD,1.71
CTO,BUJ,3.34
CTO,LOW,7.19
CTO,NOT,4.95
CTR,BAC,1.61
CTR,CRE,32.13
CTR,FLN,17.83
CTR,FRD,15.18
CTR,HSB,11.35
CTR,LLJ,62.59
CTR,MLD,10.59
CTR,PRT,38.35
CTR,SHT,10.69
CTR,WBQ,27.94
CTR,WRX,18.24
CTT,CRV,10.85
CTT,LUD,19.47
CTT,SHR,19.7
CTW,ACR,1.41
CTW,BBN,5.82
CTW,RIS,2.42
CUA,ARD,4.94
CUA,INH,0.66
CUB,CMO,12.38
CUB,GRL,1.15
CUD,DLM,4.65
CUD,GBK,4.59
CUF,BAY,5.54
CUF,CWH,2.7
CUF,GDH,5.14
CUF,HFN,10.1
CUH,HYM,8.03
CUH,KKN,7.22
CUH,WTA,2.64
CUM,APF,1.62
CUM,RAD,3.62
CUP,HYM,43.28
CUP,LDY,8.5
CUP,LEU,9.6
CUP,SPF,3.64
CUS,CWX,0.8
CUS,WWC,3.76
CUW,CLR,10.5
CUW,WTL,8.45
CUX,HAI,2.66
CUX,SOO,3.67
CWB,AGL,9.5
CWB,LLJ,5.73
CWB,RHL,15.9
CWC,BUE,5.06
CWC,MKT,5.28
CWD,LAG,3.53
CWD,SHB,6.71
CWD,WRK,8.16
CWD,WWL,2.12
CWE,ALP,5.62
CWE,TNS,9.2
CWH,CUF,2.7
CWH,GDH,2.49
CWL,GMV,4.2
CWL,LED,6.06
CWM,AGV,17.81
CWM,NWP,7.53
CWM,PPL,4.6
CWN,AHS,4.22
CWN,HEV,3.05
CWS,MCN,29.86
CWS,NWT,8.21
CWU,BAT,2.75
CWU,WLD,4.78
CWX,CUS,0.8
CWX,ZLW,5.44
CYB,CGW,1.02
CYB,GWE,3.05
CYK,DMR,1.88
CYK,YOK,1.37
CYN,LLV,7.28
CYN,SUG,5.41
CYP,ANZ,0.73
CYP,GIP,1.05
CYP,PNW,0.82
CYP,SYD,1.63
CYS,CDQ,0.97
CYS,LLN,4.11
CYT,MLH,1.13
CYT,PLS,1.71
DAG,AUR,4.4
DAG,INK,1.95
DAK,BDG,0.93
DAK,RUT,1.32
DAL,LHA,3.6
DAL,TYL,16.92
DAM,EGY,6.33
DAM,HYM,11.11
DAM,NQU,3.02
DAN,SHF,3.43
DAN,WDH,4.02
DAR,DHM,28.89
DAR,DND,5.22
DAR,NCL,50.01
DAR,NRD,1.8
DAR,NTR,21.94
DAR,YRK,69.18
DAT,SNS,7.72
DAT,SNY,2.04
DAT,WNR,1.9
DBC,DBE,0.94
DBC,DLR,0.69
DBC,DMR,9.55
DBC,HLU,12.5
DBD,PNS,5.89
DBD,SPY,3.26
DBE,BWG,3.96
DBE,DBC,0.94
DBE,DMR,8.63
DBG,DEN,6.23
DBG,ROM,5.93
DBL,BEA,3.29
DBL,GLE,17.54
DBL,PTH,39.77
DBL,STG,7.58
DBR,TRM,12.48
DBR,WFI,3.56
DBY,BEE,17.14
DBY,BHM,56.87
DBY,BUT,17.2
DBY,CHD,35.94
DBY,DFI,8.11
DBY,LEI,38.98
DBY,LGE,12.24
DBY,NOT,21.48
DBY,PEA,2.12
DBY,SHF,51.39
DBY,SOT,49.17
DBY,SPO,3.52
DBY,TAM,34.51
DBY,TUT,15.79
DBY,WIL,9.68
DCG,PLK,1.79
DCG,STF,5.52
DCH,MTN,8.81
DCH,UPW,7.09
DCH,WEY,10.45
DCH,WOO,15.51
DCH,WRM,22.76
DCT,FRW,0.73
DCT,RDR,2.03
DCW,MDN,11.78
DCW,UPW,7.17
DDG,LPW,3.9
DDG,SOL,5.29
DDG,STY,18.33
DDG,WMR,3.03
DDG,WRP,13.53
DDK,BKG,4.7
DDK,RNM,3.32
DDP,SAD,3.12
DDP,TIP,1.27
DEA,SDW,6.52
DEA,WAM,2.46
DEE,ABD,93.08
DEE,ARB,26.12
DEE,BYF,6.14
DEE,CAN,16.98
DEE,HYM,58.83
DEE,ING,5.3
DEE,LEU,10.23
DEE,PTH,29.7
DEN,DBG,6.23
DEN,SAL,12.4
DEP,GNW,0.84
DEP,LBG,5.01
DEP,NWX,0.54
DEW,BTL,2.02
DEW,HUD,11.11
DEW,LDS,12.76
DEW,MIR,4.47
DEW,RVN,2.35
DFD,BNH,4.49
DFD,CRY,2.81
DFD,GNH,4.15
DFD,NFL,7.29
DFD,SCG,3.12
DFD,SGR,3.02
DFE,DFL,2.37
DFE,ROS,2.97
DFI,BLP,4.1
DFI,DBY,8.11
DFL,COW,5.99
DFL,DFE,2.37
DFR,BCN,1.79
DFR,WNL,1.78
DGC,DNM,1.42
DGC,GER,2.76
DGL,GTN,3.06
DGL,PEN,0.63
DGT,BON,16.04
DGT,ECC,5.66
DGT,MCO,0.57
DGT,PRE,43.57
DGT,SLD,2.15
DGT,TRA,4.54
DGT,URM,7.38
DGY,LLD,2.94
DGY,LLJ,2.01
DHM,CLS,8.37
DHM,DAR,28.89
DHM,NCL,21.13
DHM,YRK,96.69
DHN,HUD,3.14
DHN,MIR,3.99
DID,APF,3.19
DID,CHO,7.41
DID,OXF,15.97
DID,RAD,8.37
DID,RDG,25.26
DID,SWI,37.84
DIG,EXC,4.4
DIG,NCO,1.27
DIG,POL,2.74
DIN,ASS,15.16
DIN,CBD,3.76
DIN,GVE,16.01
DIN,MOO,8.78
DIS,IPS,35.96
DIS,NRW,30.8
DIS,SMK,22.12
DKD,PIT,18.82
DKD,PTH,20.16
DKG,BXW,1.48
DKG,HLM,6.67
DKG,LHD,6.46
DKT,DPD,1.11
DKT,GOM,7.35
DKT,SFR,15.99
DLG,NLR,4.91
DLG,TLC,4.68
DLH,TOK,2.0
DLH,WSE,6.63
DLJ,CNN,1.17
DLJ,HGG,0.6
DLK,CNN,1.12
DLK,HKC,1.38
DLM,CUD,4.65
DLM,MLD,4.39
DLR,CDR,4.9
DLR,DBC,0.69
DLR,RTN,2.61
DLS,CAR,6.07
DLS,WGT,11.4
DLT,BIF,4.98
DLT,ROO,4.46
DLT,ULV,6.72
DLW,BLA,30.6
DLW,NWR,15.79
DLW,PIT,40.45
DLY,GLG,4.3
DLY,JHN,19.31
DLY,KWN,5.59
DMC,DMY,1.41
DMC,WES,1.75
DMF,ANN,23.92
DMF,SQH,38.84
DMG,POR,2.18
DMG,TNP,0.81
DMH,WMN,5.06
DMH,WSB,2.19
DMK,BMS,10.65
DMK,CFT,3.94
DMK,CLP,3.01
DMK,EPH,2.96
DMK,HNH,1.87
DMK,PMR,1.4
DMK,SMY,15.89
DMK,VIC,4.87
DMP,BSR,1.75
DMP,RAM,1.47
DMR,CYK,1.88
DMR,DBC,9.55
DMR,DBE,8.63
DMR,GLQ,12.29
DMR,HYN,7.85
DMR,KPT,2.19
DMR,SIN,1.4
DMS,EGR,3.42
DMS,LFD,2.31
DMY,DMC,1.41
DMY,SIN,1.29
DND,ALW,6.77
DND,DAR,5.22
DNG,KCK,6.15
DNG,SEV,2.31
DNL,BRR,13.26
DNL,STT,3.43
DNM,BCF,10.74
DNM,DGC,1.42
DNM,GER,4.16
DNM,HDM,37.38
DNM,HWY,18.04
DNM,MYB,23.92
DNM,WRU,4.25
DNO,BRA,6.48
DNO,GOL,2.71
DNS,CAD,3.02
DNS,EBK,1.08
DNT,GSD,4.97
DNT,RHD,8.52
DNY,CSM,2.32
DNY,LHM,5.53
DOC,DPT,0.55
DOC,KEY,0.86
DOD,BNY,3.74
DOD,SLK,2.38
DOL,LLT,5.7
DOL,PNY,4.63
DON,BYK,2.58
DON,CNS,7.18
DON,GBL,28.86
DON,GOO,26.91
DON,GRA,76.02
DON,KGX,231.86
DON,KKS,6.36
DON,MHS,21.52
DON,NNG,53.87
DON,PBO,120.95
DON,PFM,22.47
DON,RET,26.25
DON,SBY,29.57
DON,SCU,33.12
DON,SHF,26.62
DON,TNN,15.29
DON,WKF,29.98
DON,WKK,28.89
DON,YRK,48.65
DOR,GRN,7.76
DOR,SHF,6.67
DOR,SPT,43.85
DOT,MCE,1.84
DOT,NCL,2.53
DOW,LTP,16.11
DOW,WTG,7.77
DPD,BTO,4.15
DPD,DKT,1.11
DPD,GLD,17.81
DPD,GOM,8.46
DPD,REI,8.42
DPD,SFR,17.09
DPT,DOC,0.55
DPT,PLY,2.0
DPT,SBF,2.79
DPT,STS,4.2
DRF,BDT,17.94
DRF,BEV,17.73
DRF,HUT,5.1
DRF,NFN,3.32
DRG,CBP,0.78
DRG,WEA,0.73
DRI,RAV,3.26
DRI,SSC,3.4
DRM,LND,7.12
DRM,NBW,6.72
DRN,KYL,4.6
DRN,PLK,2.22
DRO,CHD,7.73
DRO,SHF,8.56
DRT,BNY,5.2
DRT,WKK,10.48
DRU,ADR,1.81
DRU,BHG,19.88
DRU,CAC,4.7
DSL,HAZ,5.7
DSL,MDL,2.72
DSL,NMN,2.26
DSM,HAS,8.28
DSM,SAX,6.85
DST,AXP,0.59
DST,BLG,0.79
DSY,HGF,1.52
DSY,INC,6.39
DSY,WGW,7.78
DSY,WHG,1.91
DTG,BDB,3.2
DTG,GLO,1.51
DTG,HDF,1.31
DTW,BHM,29.28
DTW,BMV,9.63
DTW,BSW,29.7
DTW,HBY,8.5
DTW,KID,14.06
DTW,WOF,9.22
DTW,WOS,8.88
DUD,AST,1.87
DUD,BHM,2.15
DUL,CBG,15.64
DUL,NMK,4.85
DUM,CKH,2.25
DUM,GLC,3.16
DUN,ALM,86.95
DUN,BWK,39.99
DUN,EDB,42.31
DUN,MPT,106.62
DUN,MUB,35.59
DUN,NCL,127.74
DUN,RSN,25.65
DUR,GBS,1.52
DUR,WWO,1.3
DVC,HPQ,1.99
DVC,HWC,0.73
DVH,BUX,4.6
DVH,CEF,2.34
DVN,SPT,1.78
DVN,WSR,0.92
DVP,FKC,10.61
DVP,KSN,3.51
DVP,MTM,5.83
DVY,BRH,11.81
DVY,MCN,5.81
DVY,PHG,7.8
DWD,PYP,2.09
DWD,RMB,2.58
DWL,DWW,2.5
DWL,EXD,17.42
DWL,TGM,4.22
DWN,BBN,5.47
DWN,BMC,10.06
DWN,ENT,5.74
DWW,DWL,2.5
DWW,EXD,16.09
DWW,SCS,3.21
DYC,ABD,9.01
DYC,INR,14.12
DYC,KTR,10.4
DYF,LBR,3.58
DYF,TLB,1.88
DYP,FPK,1.3
DYP,HHY,0.75
DZY,HNL,4.47
DZY,WDE,2.73
EAD,CLJ,2.77
EAD,WIM,2.59
EAG,ALW,1.08
EAG,HPL,19.75
EAG,NTR,22.63
EAG,STK,4.95
EAG,TBY,4.59
EAL,AML,2.37
EAL,HAY,8.34
EAL,PAD,8.65
EAL,STL,5.41
EAL,WDT,11.81
EAL,WEA,1.26
EAR,RDG,4.22
EAR,WTI,1.91
EBA,LEY,3.3
EBA,WGN,14.35
EBB,EBV,2.28
EBD,AFK,50.98
EBD,GRV,3.17
EBD,SFA,25.5
EBK,CGN,1.5
EBK,DNS,1.08
EBN,BEX,15.9
EBN,HMD,3.01
EBN,PEV,6.0
EBN,PLG,6.28
EBR,GDN,7.79
EBR,PHR,7.96
EBT,HEV,2.85
EBT,HUR,6.61
EBV,EBB,2.28
EBV,LTH,7.59
ECC,DGT,5.66
ECC,MCV,6.09
ECC,PAT,1.49
ECC,WGN,20.78
ECL,PSC,1.5
ECL,THH,1.51
ECP,ABE,0.98
ECP,LNB,2.18
ECR,BFR,15.24
ECR,CDS,7.3
ECR,CLJ,11.3
ECR,GTW,24.77
ECR,LBG,14.48
ECR,NWD,2.72
ECR,OXT,14.37
ECR,PUR,4.44
ECR,RDH,15.84
ECR,SCY,1.34
ECR,SNR,2.97
ECR,SRS,1.88
ECS,HRD,4.54
EDB,ALM,115.53
EDB,BSU,5.54
EDB,BWK,76.08
EDB,DUN,42.31
EDB,EUS,531.38
EDB,HYM,2.02
EDB,LOC,92.83
EDB,MPT,129.17
EDB,MUB,7.46
EDB,NCL,147.64
EDG,LIV,2.14
EDG,LPY,6.29
EDG,MSH,3.33
EDG,WAV,1.57
EDL,CLY,8.93
EDL,HOP,6.19
EDN,ELE,1.79
EDN,WWI,1.35
EDP,HYM,5.92
EDP,LIN,18.75
EDP,UHA,12.16
EDR,BHK,1.93
EDR,CHN,9.04
EDR,SBU,2.67
EDR,SLV,1.34
EDW,NDL,0.91
EDW,PMR,1.25
EDY,BNA,1.47
EDY,GTY,1.87
EDY,HDG,4.52
EDY,MAN,7.51
EDY,MIA,5.97
EFF,BKA,2.52
EFF,CSD,3.65
EFF,HSY,1.73
EFL,MDW,2.75
EFL,WTR,4.38
EGF,GRF,0.9
EGF,MIK,3.04
EGG,KGN,5.79
EGG,LAP,5.58
EGG,MRD,9.29
EGG,UMB,14.3
EGH,SNS,3.02
EGH,VIR,3.27
EGN,HOW,4.92
EGR,DMS,3.42
EGT,GLS,2.08
EGT,GMT,2.4
EGY,DAM,6.33
EGY,HYM,6.35
EGY,INK,11.45
EGY,SGL,1.38
EKB,NEG,3.13
EKB,SFI,5.0
EKL,HMY,2.53
ELD,RDH,1.47
ELD,SAF,2.9
ELE,CLK,1.3
ELE,EDN,1.79
ELG,FOR,18.97
ELG,KEH,23.62
ELO,BTF,4.05
ELP,INE,5.37
ELP,OVE,1.9
ELR,CLN,4.79
ELR,WOM,2.23
ELS,MIL,4.92
ELS,RDT,4.42
ELS,SAC,11.34
ELW,BKH,3.25
ELW,BXH,5.69
ELW,CTN,3.77
ELW,FCN,1.86
ELW,KDB,1.84
ELY,BND,25.26
ELY,CBG,23.58
ELY,CMB,20.13
ELY,LAK,19.17
ELY,LTP,8.6
ELY,MCH,22.22
ELY,MNE,13.31
ELY,PBO,40.53
ELY,SOJ,7.58
ELY,TTF,32.6
ELY,WBC,15.08
EMD,ATB,5.19
EMD,BEE,7.35
EMD,DBY,14.51
EMD,LBO,10.56
EMD,LEI,27.55
EMD,LGE,2.8
EMD,NOT,12.14
EML,BMG,2.76
EML,WMA,1.59
EMP,RMF,2.67
EMP,UPM,2.41
EMS,CCH,11.24
EMS,HAV,3.03
EMS,SOB,2.18
EMS,WBL,2.01
ENC,GDH,1.22
ENC,GPK,1.22
ENC,WIH,2.21
ENF,BHK,1.28
ENL,BMD,1.75
ENL,CHN,3.57
ENL,MRW,6.82
ENL,NUM,7.89
ENL,TOM,9.44
ENL,WLC,1.58
