source,target,distance
ATT,STF,7.3
AUD,BIS,15.59
AUD,CBG,21.68
AUD,GRC,6.23
AUD,NWE,2.79
AUD,SSD,13.4
AUD,WLF,11.39
AUG,OMS,1.83
AUG,TWN,1.44
AUI,ART,10.9
AUI,CNR,11.72
AUK,KMK,20.31
AUK,NCK,10.27
AUR,BTS,4.19
AUR,DAG,4.4
AVF,BOA,2.1
AVF,FFD,1.39
AVM,CAG,10.06
AVM,INV,40.12
AVM,KIN,18.33
AVN,SAR,1.41
AVN,SHH,2.22
AVP,AYS,3.66
AVY,PHG,1.5
AVY,TYW,5.25
AWK,BYK,3.81
AWK,SES,7.24
AWM,BDK,6.79
AWM,LET,9.94
AWM,RYS,6.19
AWT,CAR,13.79
AWT,LZB,7.92
AXM,CKN,19.02
AXM,HON,12.92
AXP,BNL,1.74
AXP,DST,0.59
AYH,ADM,1.71
AYH,CBE,10.66
AYH,SWO,1.36
AYL,MDB,4.27
AYL,NHE,1.52
AYP,BXY,1.61
AYP,SID,1.61
AYR,MAY,12.09
AYR,NOA,1.76
AYR,PTW,4.89
AYS,AVP,3.66
AYS,LTK,6.87
AYS,SKM,3.6
AYW,BOW,4.39
BAA,ANG,10.68
BAA,BOG,5.56
BAA,CCH,9.98
BAA,FOD,4.29
BAA,HAV,24.16
BAA,HRH,34.47
BAA,LIT,6.98
BAB,HHE,6.01
BAB,TBD,7.04
BAC,CPU,6.56
BAC,CTR,1.61
BAC,HOO,11.28
BAD,BLM,1.9
BAD,EPD,1.9
BAG,ACT,4.74
BAG,CAM,4.98
BAH,BOT,1.21
BAH,SDL,0.91
BAI,CBS,0.87
BAI,EST,4.13
BAI,SLS,7.5
BAJ,BNF,2.55
BAJ,PTA,3.36
BAK,CLJ,2.12
BAK,VIC,2.01
BAL,CLJ,2.64
BAL,MTC,3.87
BAL,SRC,2.95
BAL,SRH,1.77
BAL,WSW,0.83
BAM,HOP,2.73
BAM,HSG,2.92
BAN,BCS,21.27
BAN,KGS,5.4
BAN,LMS,28.69
BAN,OXF,34.36
BAR,LAN,3.5
BAR,MCM,2.29
BAS,BFE,4.08
BAS,CSK,1.46
BAT,CWU,2.75
BAT,RBR,8.21
BAT,SLQ,7.85
BAT,WAD,21.92
BAT,WLD,7.37
BAU,BAV,3.53
BAV,BAU,3.53
BAV,NHL,2.12
BAW,FNN,4.07
BAW,NCM,7.0
BAW,SND,2.48
BAW,WKM,9.94
BAY,CUF,5.54
BAY,HFN,4.58
BBG,GLQ,4.89
BBG,LNZ,4.83
BBK,CSL,1.13
BBK,WVH,6.01
BBL,OTF,2.61
BBL,SEV,1.68
BBN,ACR,7.22
BBN,CTW,5.82
BBN,DWN,5.47
BBN,MLH,1.93
BBN,PRE,15.1
BBN,RGW,3.73
BBN,RIS,4.32
BBW,HOY,1.65
BBW,LCK,1.58
BCB,HSC,2.65
BCB,MEC,9.92
BCB,NLN,1.83
BCB,PBL,4.96
BCC,BRP,7.23
BCC,OUS,9.47
BCE,MAO,1.97
BCE,WKM,6.31
BCF,GER,6.6
BCF,HWY,7.3
BCF,MYB,34.64
BCF,SRG,2.52
BCG,RHI,0.73
BCG,TGS,0.48
BCH,HNB,12.84
BCH,MAR,4.98
BCH,WGA,2.6
BCJ,OMS,4.25
BCJ,RUF,4.66
BCK,HWD,2.95
BCK,PNF,2.22
BCN,DFR,1.79
BCN,INP,5.76
BCS,BAN,21.27
BCS,HDM,20.55
BCS,HWY,41.3
BCS,KGS,15.87
BCS,PRR,29.51
BCU,ANF,8.76
BCU,BEU,6.43
BCU,BMH,22.71
BCU,LYT,6.73
BCU,NWM,9.02
BCU,SOU,15.09
BCU,SWY,4.4
BCV,SVS,1.22
BCV,WHL,1.34
BCY,HPA,1.68
BCY,NXG,1.19
BDA,BGA,1.43
BDA,BUC,3.23
BDA,CNY,6.78
BDA,LGD,3.43
BDA,NRW,8.98
BDB,DTG,3.2
BDB,GLO,4.48
BDB,HTY,1.65
BDG,AGS,1.8
BDG,DAK,0.93
BDG,GLC,2.31
BDG,RUT,2.22
BDH,CSA,5.21
BDH,FTN,8.44
BDH,HAV,1.0
BDH,HLS,5.26
BDI,HFX,10.46
BDI,LMR,4.57
BDI,NPD,4.76
BDK,AWM,6.79
BDK,LET,3.2
BDK,RYS,12.87
BDL,HIL,1.43
BDL,SOP,1.66
BDM,BSJ,1.1
BDM,FLT,14.78
BDM,LTN,29.84
BDM,LUT,28.59
BDM,STP,71.62
BDM,WEL,22.98
BDN,RYR,5.27
BDN,SAB,3.83
BDN,SAN,2.92
BDQ,FZH,2.72
BDQ,SHY,4.2
BDS,PAD,22.63
BDS,TCR,19.42
BDT,BEM,5.05
BDT,DRF,17.94
BDT,NFN,14.7
BDW,HGD,7.17
BDW,PEW,12.64
BDY,BNT,1.66
BDY,RML,1.68
BEA,DBL,3.29
BEA,STG,4.31
BEB,PSL,1.01
BEB,RFY,1.76
BEC,BGM,1.04
BEC,BKJ,1.65
BEC,RVB,1.39
BEE,ATB,2.25
BEE,DBY,17.14
BEE,EMD,7.35
BEE,LGE,6.7
BEE,NOT,5.02
BEF,BSO,7.74
BEF,LES,5.45
BEF,PSE,4.25
BEG,PDW,2.69
BEG,YAL,2.5
BEH,BEP,2.83
BEH,CAA,3.96
BEL,INV,14.76
BEL,MOO,4.45
BEM,BDT,5.05
BEM,HUB,10.14
BEN,CPY,6.69
BEN,WNN,5.03
BEP,BEH,2.83
BEP,NUN,2.53
BER,CLV,5.16
BER,WMC,2.47
BES,MEC,4.73
BES,NLN,3.39
BET,CBH,0.85
BET,HAC,2.7
BET,LST,1.7
BEU,ANF,4.16
BEU,BCU,6.43
BEV,ARR,4.71
BEV,CGM,6.84
BEV,DRF,17.73
BEV,HUT,12.63
BEX,CLL,1.36
BEX,EBN,15.9
BEX,HMD,14.75
BEX,SLQ,6.09
BEY,BUW,3.49
BEY,ILK,1.62
BFD,KWB,1.41
BFD,SYL,1.3
BFE,BAS,4.08
BFE,SBV,5.43
BFF,RMB,5.66
BFN,ASN,2.59
BFN,WBY,2.05
BFN,WYB,2.12
BFR,CTK,0.24
BFR,ECR,15.24
BFR,EPH,1.99
BFR,LBG,1.47
BFR,STP,2.6
BFR,ZFD,0.98
BGA,BDA,1.43
BGA,NRW,7.58
BGD,BHD,2.0
BGD,GFF,0.92
BGD,PGM,2.43
BGE,LIV,5.59
BGE,ROB,2.53
BGE,WAV,1.99
BGH,HFX,5.52
BGH,HUD,5.55
BGH,LDS,18.67
BGH,LMR,6.02
BGH,MCV,38.53
BGH,MIR,6.49
BGH,SOW,8.46
BGI,BIO,2.78
BGI,KWD,1.48
BGL,LUX,3.32
BGL,ROC,3.4
BGM,BEC,1.04
BGM,BMS,4.64
BGM,CTF,1.24
BGN,CDF,27.64
BGN,LWM,12.61
BGN,NNP,26.12
BGN,PCD,5.54
BGN,PTA,17.09
BGN,PYL,8.75
BGN,WMI,1.57
BGS,CDY,1.38
BGS,PTG,1.4
BGV,BKG,3.31
BHC,ALX,2.02
BHD,BGD,2.0
BHD,TIR,1.69
BHG,ARM,3.09
BHG,DRU,19.88
BHG,LSN,6.03
BHI,BHM,12.08
BHI,COV,15.44
BHI,HIA,2.99
BHI,MGN,2.72
BHI,THL,10.72
BHK,EDR,1.93
BHK,ENF,1.28
BHM,ADD,2.92
BHM,AST,3.5
BHM,BHI,12.08
BHM,BUT,40.33
BHM,CEH,13.57
BHM,CNM,66.04
BHM,DBY,56.87
BHM,DUD,2.15
BHM,FWY,1.26
BHM,GCR,72.0
BHM,LMS,32.69
BHM,MGN,9.75
BHM,SAD,8.39
BHM,SCF,5.96
BHM,SGB,6.15
BHM,SMR,5.3
BHM,TAB,9.84
BHM,TAM,22.72
BHM,UNI,3.97
BHM,WNE,20.9
BHM,WOP,40.07
BHM,WTO,11.43
BHM,WVH,19.31
BHO,STO,2.21
BHO,WMW,1.31
BHR,CIM,2.9
BHR,LLO,8.76
BHS,HOY,1.42
BHS,SSM,3.11
BIA,SHD,4.28
BIC,SNF,6.13
BIC,WIC,7.11
BID,BKN,1.48
BID,LSW,1.4
BID,UPT,2.59
BIF,ASK,7.92
BIF,ROO,2.1
BIG,CHH,7.24
BIG,PUL,7.93
BIL,SEC,7.66
BIL,STK,4.78
BIN,ALK,3.6
BIN,BTF,10.51
BIN,NOT,13.08
BIN,RDF,5.7
BIN,SLR,36.57
BIO,BGI,2.78
BIO,MTV,1.48
BIP,NVH,2.23
BIP,NVN,2.55
BIP,SEF,1.47
BIS,AUD,15.59
BIS,HWN,10.66
BIS,NWE,13.05
BIS,SAW,5.83
BIS,SED,31.43
BIS,SSD,7.02
BIS,SST,4.53
BIS,TOM,34.62
BIT,HDM,19.66
BIT,HWY,40.37
BIT,ISP,9.75
BIT,OXP,13.2
BIW,ARL,6.53
BIW,SDY,4.66
BIW,SNO,16.37
BIW,SVG,20.69
BIY,CFL,1.24
BIY,KEI,4.73
BIY,SAE,3.16
BIY,SHY,4.53
BKA,EFF,2.52
BKA,LHD,3.71
BKC,BKQ,0.74
BKC,GNL,0.67
BKC,RFY,1.88
BKD,HAG,2.69
BKD,KID,4.92
BKG,BGV,3.31
BKG,DDK,4.7
BKG,LHS,8.85
BKG,SRA,5.84
BKG,UPM,12.03
BKG,WEH,5.34
BKG,WGR,2.65
BKH,CTN,2.82
BKH,ELW,3.25
BKH,KDB,1.43
BKH,LEW,1.55
BKJ,BEC,1.65
BKJ,KTH,1.3
BKJ,SRT,2.18
BKJ,VIC,12.37
BKL,BMS,1.8
BKL,PET,2.47
BKL,SMY,4.42
BKM,HML,5.42
BKM,LBZ,18.78
BKM,TRI,5.9
BKN,BID,1.48
BKN,BKP,1.44
BKN,WLV,2.15
BKO,AHV,6.93
BKO,FNB,8.38
BKO,WOK,5.72
BKP,BKN,1.44
BKP,CNP,1.2
BKQ,BKC,0.74
BKQ,CNP,0.61
BKQ,LVJ,1.82
BKR,ARM,4.09
BKR,CAC,8.7
BKS,ADM,4.89
BKS,CBE,4.46
BKT,BUL,1.46
BKT,SEN,3.8
BKW,HIA,5.35
BKW,THL,3.12
BLA,DLW,30.6
BLA,PIT,9.9
BLB,SOF,3.95
BLB,WIC,3.4
BLD,GSY,3.87
BLD,SHY,2.28
BLE,LDS,6.08
BLE,NPD,2.81
BLG,CAY,2.93
BLG,DST,0.79
BLG,HST,0.96
BLG,SPR,2.74
BLH,GLC,15.29
BLH,HLY,3.23
BLH,KKN,37.86
BLH,MTH,3.37
BLH,SHS,14.18
BLH,UDD,3.92
BLH,WSH,7.92
BLK,ADL,3.25
BLK,CRL,7.77
BLK,HWI,2.47
BLL,HDB,6.29
BLL,HWH,7.51
BLM,BAD,1.9
BLM,SUO,1.81
BLN,HLR,1.39
BLN,WLO,1.7
BLO,MCE,3.1
BLO,WYM,6.56
BLP,AMB,4.0
BLP,DFI,4.1
BLT,HNW,2.89
BLT,NTN,3.75
BLV,ABY,1.38
BLV,RRB,0.72
BLW,HKN,4.29
BLW,NOT,6.71
BLX,BWN,0.98
BLX,WSL,4.17
BLY,BWB,2.93
BLY,FEN,1.37
BLY,LBZ,9.69
BLY,MKC,5.05
BMB,BBN,12.15
BMB,LOH,1.76
BMB,MLH,10.51
BMB,PLS,7.69
BMC,DWN,10.06
BMC,ENT,4.71
BMC,HID,1.82
BMD,ENL,1.75
BMD,PON,1.41
BME,CRV,3.9
BME,HPT,3.93
BMF,BUH,6.34
BMF,GBD,3.97
BMG,EML,2.76
BMG,MDE,3.05
BMH,BCU,22.71
BMH,BSM,3.89
BMH,NWM,14.84
BMH,PKS,6.01
BMH,POK,2.76
BMH,POO,8.45
BMH,SOU,37.44
BML,CHU,2.48
BML,PYT,2.13
BMN,SUP,0.54
BMO,ACG,5.98
BMO,BSW,0.71
BMO,SMA,2.82
BMO,SOL,10.08
BMO,SRI,5.45
BMO,TYS,4.56
BMP,HWH,15.84
BMP,WRL,9.82
BMR,BOM,0.91
BMR,SPI,1.15
BMS,BKL,1.8
BMS,DMK,10.65
BMS,LGF,19.58
BMS,RTR,34.18
BMS,SAY,10.5
BMS,SMY,6.2
BMS,SRT,1.25
BMS,VIC,15.49
BMT,BRI,1.34
BMT,PSN,1.22
BMV,BTG,5.72
BMV,DTW,9.63
BMV,LOB,9.38
BMV,UNI,16.18
BMY,BSK,7.1
BMY,MOR,5.0
BNA,EDY,1.47
BNA,MAU,1.36
BNC,BRF,3.49
BNC,BUB,0.89
BND,ELY,25.26
BND,LAK,6.2
BND,TTF,9.04
BNE,COO,2.33
BNE,MLW,3.93
BNF,BAJ,2.55
BNF,NTH,2.85
BNG,HHD,34.28
BNG,LLF,10.88
BNG,LLJ,22.8
BNG,LPG,4.89
BNH,BXH,1.91
BNH,DFD,4.49
BNH,SGR,2.08
BNI,BNS,0.94
